,Title,DateOfRecord,GroupID,Genre,Country,Duration,TopOfTheYear
87,Tggiv,1970-06-28,1,Rock,Jkkfz,71,68
88,Gjwefqyn,1993-10-02,1,Classic,Sayk,93,16
89,Afbrtd,1983-06-29,3,Hard rock,Wzosknw,86,75
90,Ozqdzbie,1979-06-29,1,Rock,Bifeoaw,85,70
91,Dankv,1996-07-10,4,Classic,Ovrqi,38,75
92,Xlvqy,1976-04-25,0,Electronic,Wdmgyw,73,23
93,Dddvvfe,1982-02-04,3,Electronic,Wchmvx,81,34
94,Icahmbz,1981-12-04,4,Metal,Azpgtym,31,8
95,Uwqocpj,1986-07-05,3,Electronic,Uqja,96,32
96,Fbjwyrkg,1980-05-05,1,Rock,Ojkgtpm,55,43
97,Svfgrdfn,1995-09-26,0,Metal,Wwdx,83,100
98,Wurnoxnu,1981-02-20,2,Rock,Fgel,56,65
99,Mssj,1989-02-11,4,Metal,Hhbsuu,85,98
